职位名称,名称,地点,分类,时间,工作内容
15570-知名IP动作手游高级引擎开发工程师（动画方向）,IEG ," 深圳,中国 ", 技术 ,2021/10/2,"UE4动作游戏项目核心引擎开发；
负责动作系统相关引擎功能的开发；
设计与开发动画相关工具链，制定美术制作管线与制作规范。
参与性能优化工作，包括多端CPU、GPU性能优化，兼容性与机型适配等；"
15570-知名IP动作手游高级引擎开发工程师（渲染方向）,IEG ," 深圳,中国 ", 技术 ,2021/10/2,"UE4动作游戏项目核心引擎开发；
负责实现渲染相关算法和功能，探索和实现高性能的全局光照方案；
设计与开发引擎工具链，制定美术制作管线与制作规范。
参与性能优化工作，包括多端CPU、GPU性能优化，兼容性与机型适配等；"
40164-合金弹头-服务器开发工程师（深圳）,IEG ," 深圳,中国 ", 技术 ,2021/10/2,"负责大中型网络游戏服务器端开发；
负责部分服务器端的架构工作；
负责手机游戏的服务器端功能开发工作；
负责服务器端部分的性能优化工作。"
28603-微信支付终端硬件安全专家【HR-WXG】,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"负责微信支付的终端安全体系建设，对手机客户端、人脸设备、智能可穿戴设备等IOT设备进行安全评估、安全设计、安全研发和安全测试，对终端软硬件的进行持续安全改进。
1.安全评估：对评估对象进行需求评审、系统分析、威胁分析和风险评估；
2.安全设计：对终端产品的硬件和软件进行安全设计，体系化提升产品安全水平；
3.安全研发：对核心安全功能进行安全开发，如访问控制模块、密码学模块、安全通讯模块、安全SDK等；
4.安全测试：对终端产品进行白盒/黑灰盒安全测试，发现安全漏洞并给出改进方案。"
28603-微信支付金融信贷风控模型专家【HR-WXG】,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"1、基于海量数据，构建覆盖金融信贷场景全生命周期的风控模型体系，深度参与风控模型的规划和开发，为免押、贷款等各种金融业务提供可靠的金融技术服务；
2、通过对异常用户、异常商户、异常团伙、异常设备等的发现和挖掘，不断优化反欺诈模型，实现金融黑产的有效预防和对抗；
3、基于深度学习、迁移学习和复杂网络等技术，探索金融领域的前沿应用。"
28603-微信支付金融信贷风控策略专家【HR-WXG】,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"1、打造金融信贷场景下的策略方法论与系统工具，形成策略理论体系，有效对抗黑产团伙；
2、对于贷前、贷后、贷后信贷全生命周期中，涉及的准入、拦截、额度、定价、催收等多个环节，深度参与策略开发工作，与异常用户、异常行为实时对抗，并联合内外部团队，为金融信贷业务提供有力支持；
3、基于海量数据，通过算法及工具，发现和挖掘异常用户、异常商户、异常团伙、异常设备，有效控制信贷风险。"
28603-微信支付机器学习平台开发专家（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"1、负责数据中心金融、营销等场景模型的研究及落地，提供高效的建模方案供业务方使用；
2、负责机器学习平台的持续优化和技术改进，提升模型训练性能和平台稳定性；
3、搭建可自由组装pipeline流水线，支持微信支付不同业务数据建模组件的组装诉求；
4、负责业界机器学习新技术的引入和相关高级人才的引入，一起打造有战斗力的技术团队。"
28603-微信支付大数据平台开发专家（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"1、负责大数据平台项目的技术选型、架构规划和问题攻关，构建易用、高效、稳定的大数据采集、清洗、计算、存储和应用系统；
2、对业务问题进行合理抽象和设计并负责核心业务模块的开发；
3、设计高质量的底层数据体系，推动“数据驱动”模式在业务团队的落地和演进；
4、负责数据资产管理，包括元数据管理、血缘关系、数据安全、质量监控、成本管理等大数据治理相关工作，推动数据合规等相关工作的执行。"
28601-微信支付行业C++后台开发工程师（深圳）,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"负责刷脸支付架构设计和开发，为微信用户提供优质顺畅的支付服务和极致体验； 
参与设计刷脸支付系统技术方案，核心代码开发和系统调优； 
参与行业中台建设，内部系统优化，协助团队攻克各种高并发、数据隔离、系统解耦等方面的技术难关； 
参与各专项技术调研，新技术引入等前瞻项目。"
28603-微信支付反欺诈策略专家,WXG ," 深圳,中国 ", 技术 ,2021/10/2,"1. 深入理解支付业务，针对支付环节中欺诈、赌博、洗钱等异常行为，打造支付反欺诈的策略体系与系统工具，形成策略方法论，有效对抗黑产团伙；
2. 深度参与策略开发工作，建设高效的平台与工具以及快速响应的流程机制，与黑产实时对抗，并联合内外部团队，净化支付生态；
3. 基于海量数据，通过算法及工具，发现和挖掘异常用户、异常商户、异常团伙、异常环境、异常行为等，精准识别潜在风险。"
