大数据开发工程师,上海星翰云信息科技有限公司,上海-浦东新区,1.5-2万/月,上海-浦东新区|3-4年经验|大专|招3人,计算机软件,500-1000人,民营公司,2021-10-29 10:14:23,https://jobs.51job.com/all/coA2NUNQdtU20CbwJnXTs.html,https://jobs.51job.com/shanghai-pdxq/136127245.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（中高级）,中经网数据有限公司,北京-西城区,1.5-2万/月,北京-西城区|1年经验|本科|招2人,互联网/电子商务,150-500人,国企,2021-10-29 10:09:14,https://jobs.51job.com/all/co2571548.html,https://jobs.51job.com/beijing-xcq/136133565.html?s=sou_sou_soulb&t=0_0
医学大数据开发工程师(J13090),金域医学集团,广州-海珠区,2.5-3万/月,广州-海珠区|5-7年经验|本科|招1人,医疗/护理/卫生,10000人以上,上市公司,2021-10-29 16:00:07,https://jobs.51job.com/all/co945252.html,https://jobs.51job.com/guangzhou-hzq/136157596.html?s=sou_sou_soulb&t=0_0
大数据分析建模工程师,武汉佰钧成技术有限责任公司,上海-浦东新区,1.7-3万/月,上海-浦东新区|3-4年经验|本科|招2人,计算机软件,10000人以上,民营公司,2021-10-29 12:00:30,https://jobs.51job.com/all/co2471571.html,https://jobs.51job.com/shanghai-pdxq/136150323.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,中国联合网络通信有限公司广东省分公司,广州,2-2.5万/月,广州|3-4年经验|本科|招2人,通信/电信/网络设备,10000人以上,国企,2021-10-29 19:04:48,https://jobs.51job.com/all/coBGQBYVc8U2kHYVE2Vjs.html,https://jobs.51job.com/guangzhou/132713617.html?s=sou_sou_soulb&t=0_0
大数据开发实习生 6-8k,青岛度美信息技术有限公司,青岛-市南区,6-8千/月,青岛-市南区|无需经验|招2人,影视/媒体/艺术/文化传播,50-150人,民营公司,2021-10-29 19:01:08,https://jobs.51job.com/all/co6101041.html,https://jobs.51job.com/qingdao-snq/125919061.html?s=sou_sou_soulb&t=0_0
高级大数据工程师,北京贝斯平云科技有限公司,上海-徐汇区,2.5-3.1万/月,上海-徐汇区|5-7年经验|招1人,互联网/电子商务,150-500人,外资（非欧美）,2021-10-29 17:50:57,https://jobs.51job.com/all/coB2dXNVI1UWwDZgZiB2Q.html,https://jobs.51job.com/shanghai-xhq/136162794.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海井胜通讯技术有限公司,杭州,1-2万/月,杭州|2年经验|本科|招若干人,通信/电信/网络设备,150-500人,民营公司,2021-10-29 17:05:03,https://jobs.51job.com/all/co2708622.html,https://jobs.51job.com/hangzhou/132688554.html?s=sou_sou_soulb&t=0_0
资深大数据工程师,上海集成电路装备材料产业创新中心有限公司,上海,30-60万/年,上海|5-7年经验|本科|招1人,电子技术/半导体/集成电路,1000-5000人,国企,2021-10-29 17:04:11,https://jobs.51job.com/all/co5970309.html,https://jobs.51job.com/shanghai/135199649.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,上海加冠信息科技有限公司,苏州,6-8千/月,苏州|无需经验|大专|招2人,计算机硬件,50-150人,民营公司,2021-10-29 16:30:09,https://jobs.51job.com/all/coUjJUNgRvBD5TMgdsVTk.html,https://jobs.51job.com/suzhou/136158798.html?s=sou_sou_soulb&t=0_0
大数据平台工程师,航天物联网技术有限公司,北京-海淀区,1-1.5万/月,北京-海淀区|2年经验|本科|招2人,电子技术/半导体/集成电路,50-150人,国企,2021-10-29 15:52:28,https://jobs.51job.com/all/co5695439.html,https://jobs.51job.com/beijing-hdq/129805179.html?s=sou_sou_soulb&t=0_0
